adcode,name,level,parent,suffix,lng,lat,py,pyf,p1
360100,南昌,city,360000.0,市,115.857972,28.682976,nanchang,nc,n
220200,吉林,city,220000.0,市,126.549719,43.838132,jilin,jl,j
220100,长春,city,220000.0,市,125.323643,43.816996,changchun,cc,c
220800,白城,city,220000.0,市,122.838102,45.620131,baicheng,bc,b
220700,松原,city,220000.0,市,124.825321,45.14191,songyuan,sy,s
220400,辽源,city,220000.0,市,125.144676,42.887961,liaoyuan,ly,l
220500,通化,city,220000.0,市,125.939721,41.728312,tonghua,th,t
220300,四平,city,220000.0,市,124.350599,43.166764,siping,sp,s
220600,白山,city,220000.0,市,126.414274,41.944132,baishan,bs,b
140300,阳泉,city,140000.0,市,113.580426,37.857094,yangquan,yq,y
140100,太原,city,140000.0,市,112.549656,37.870451,taiyuan,ty,t
140600,朔州,city,140000.0,市,112.432906,39.331734,shuozhou,sz,s
141100,吕梁,city,140000.0,市,111.14454,37.518996,lvliang,ll,l
140200,大同,city,140000.0,市,113.366749,40.09711,datong,dt,d
140700,晋中,city,140000.0,市,112.752633,37.688006,jinzhong,jz,j
140500,晋城,city,140000.0,市,112.852022,35.491315,jincheng,jc,j
140400,长治,city,140000.0,市,113.117394,36.195142,zhangzhi,zz,z
140900,忻州,city,140000.0,市,112.734149,38.415958,xinzhou,xz,x
141000,临汾,city,140000.0,市,111.51931,36.088581,linfen,lf,l
140800,运城,city,140000.0,市,111.007051,35.02667,yuncheng,yc,y
530600,昭通,city,530000.0,市,103.717078,27.338185,zhaotong,zt,z
530300,曲靖,city,530000.0,市,103.796288,25.490866,qujing,qj,q
530400,玉溪,city,530000.0,市,102.526673,24.346786,yuxi,yx,y
530700,丽江,city,530000.0,市,100.225936,26.855165,lijiang,lj,l
530500,保山,city,530000.0,市,99.161489,25.112018,baoshan,bs,b
530800,普洱,city,530000.0,市,100.966011,22.825229,puer,pe,p
530900,临沧,city,530000.0,市,100.088837,23.884175,lincang,lc,l
530100,昆明,city,530000.0,市,102.833669,24.88149,kunming,km,k
310115,浦东,district,310000.0,区,121.544346,31.221461,pudong,pd,p
310116,金山,district,310000.0,区,121.341774,30.742769,jinshan,js,j
310151,崇明,district,310000.0,区,121.397662,31.623863,chongming,cm,c
310120,奉贤,district,310000.0,区,121.473945,30.918406,fengxian,fx,f
310114,嘉定,district,310000.0,区,121.265276,31.375566,jiading,jd,j
310113,宝山,district,310000.0,区,121.489431,31.405242,baoshan,bs,b
310107,普陀,district,310000.0,区,121.39547,31.249618,putuo,pt,p
310110,杨浦,district,310000.0,区,121.525409,31.259588,yangpu,yp,y
310101,黄浦,district,310000.0,区,121.48442,31.231661,huangpu,hp,h
310117,松江,district,310000.0,区,121.227676,31.03257,songjiang,sj,s
310106,静安,district,310000.0,区,121.447348,31.227718,jingan,ja,j
310109,虹口,district,310000.0,区,121.504994,31.264917,hongkou,hk,h
310105,长宁,district,310000.0,区,121.424751,31.220537,zhangning,zn,z
310104,徐汇,district,310000.0,区,121.436307,31.188334,xuhui,xh,x
310118,青浦,district,310000.0,区,121.124249,31.15098,qingpu,qp,q
310112,闵行,district,310000.0,区,121.380857,31.112834,minxing,mx,m
500117,合川,district,500000.0,区,106.27617,29.971968,hechuan,hc,h
500152,潼南,district,500000.0,区,105.840487,30.191077,tongnan,tn,t
500111,大足,district,500000.0,区,105.721825,29.707555,dazu,dz,d
500115,长寿,district,500000.0,区,107.080945,29.857916,changshou,cs,c
500151,铜梁,district,500000.0,区,106.056265,29.845248,tongliang,tl,t
500120,璧山,district,500000.0,区,106.204885,29.577455,bishan,bs,b
500153,荣昌,district,500000.0,区,105.6118,29.416892,rongchang,rc,r
500118,永川,district,500000.0,区,105.926951,29.356384,yongchuan,yc,y
500104,大渡口,district,500000.0,区,106.482299,29.484464,dadukou,ddk,d
500119,南川,district,500000.0,区,107.099147,29.157879,nanchuan,nc,n
500107,九龙坡,district,500000.0,区,106.510515,29.502325,jiulongpo,jlp,j
500103,渝中,district,500000.0,区,106.568955,29.552642,yuzhong,yz,y
500101,万州,district,500000.0,区,108.408591,30.807621,wanzhou,wz,w
500102,涪陵,district,500000.0,区,107.246521,29.752475,fuling,fl,f
500110,綦江,district,500000.0,区,106.651213,29.028117,qijiang,qj,q
500154,开州,district,500000.0,区,108.39336,31.160416,kaizhou,kz,k
500155,梁平,district,500000.0,区,107.769568,30.654233,liangping,lp,l
500116,江津,district,500000.0,区,106.264435,29.319984,jiangjin,jj,j
500114,黔江,district,500000.0,区,108.770677,29.533609,qianjiang,qj,q
500108,南岸,district,500000.0,区,106.644254,29.50109,nanan,na,n
500113,巴南,district,500000.0,区,106.540603,29.402348,banan,bn,b
500109,北碚,district,500000.0,区,106.395593,29.805197,beibei,bb,b
500156,武隆,district,500000.0,区,107.759955,29.325707,wulong,wl,w
500106,沙坪坝,district,500000.0,区,106.456939,29.541017,shapingba,spb,s
500105,江北,district,500000.0,区,106.574395,29.606224,jiangbei,jb,j
500112,渝北,district,500000.0,区,106.631155,29.718087,yubei,yb,y
110119,延庆,district,110000.0,区,115.974609,40.457033,yanqing,yq,y
110116,怀柔,district,110000.0,区,116.631974,40.317003,huairou,hr,h
110109,门头沟,district,110000.0,区,116.101668,39.940842,mentougou,mtg,m
110113,顺义,district,110000.0,区,116.661474,40.149891,shunyi,sy,s
110117,平谷,district,110000.0,区,117.121589,40.140805,pinggu,pg,p
110101,东城,district,110000.0,区,116.416334,39.928359,dongcheng,dc,d
110105,朝阳,district,110000.0,区,116.443136,39.921444,zhaoyang,zy,z
110115,大兴,district,110000.0,区,116.341483,39.726917,daxing,dx,d
110112,通州,district,110000.0,区,116.72923,39.916403,tongzhou,tz,t
110118,密云,district,110000.0,区,116.843351,40.377058,miyun,my,m
110111,房山,district,110000.0,区,116.143426,39.748889,fangshan,fs,f
110102,西城,district,110000.0,区,116.36585,39.9126,xicheng,xc,x
110106,丰台,district,110000.0,区,116.286726,39.858538,fengtai,ft,f
110107,石景山,district,110000.0,区,116.223015,39.906304,shijingshan,sjs,s
110108,海淀,district,110000.0,区,116.2977,39.959893,haidian,hd,h
110114,昌平,district,110000.0,区,116.231034,40.220952,changping,cp,c
120105,河北,district,120000.0,区,117.196874,39.148018,hebei,hb,h
120115,宝坻,district,120000.0,区,117.309748,39.717054,baodi,bd,b
120101,和平,district,120000.0,区,117.214713,39.116884,heping,hp,h
120116,滨海,district,120000.0,区,117.69641,39.017809,binhai,bh,b
120119,蓟州,district,120000.0,区,117.408432,40.046544,jizhou,jz,j
120118,静海,district,120000.0,区,116.975474,38.947772,jinghai,jh,j
120114,武清,district,120000.0,区,117.04456,39.384108,wuqing,wq,w
120104,南开,district,120000.0,区,117.150638,39.138551,nankai,nk,n
120117,宁河,district,120000.0,区,117.826674,39.329749,ninghe,nh,n
120106,红桥,district,120000.0,区,117.151566,39.167349,hongqiao,hq,h
120111,西青,district,120000.0,区,117.008994,39.141811,xiqing,xq,x
